wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
panel,2,12,28.9,8,55.81831998,37.62658003,11500000
brick,3,5,37,6,55.74650581,37.66750536,21500000
monolithBrick,10,15,71.5,15,55.57524,37.44965,11550000
brick,3,9,44,5.5,55.71592,37.73211,15800000
monolithBrick,27,57,41.25,15,55.81242694,37.60414033,17979167
panel,10,11,86,17,55.69694738,37.63378209,41500000
monolith,12,24,122,21.5,55.82435777,37.43307309,43000000
monolith,10,24,93.7,20,55.78900197,37.47245437,46850000
monolith,6,23,55,18.8,55.57524,37.44965,11200000
panel,9,17,64,12.7,55.70428,37.93738997,16500000
panel,4,12,41,5.9,55.59450978,37.60921855,11500000
monolithBrick,5,7,136,20,55.75333241,37.59813231,141850000
brick,6,16,76.3,21.3,55.77756,37.50317997,41500000
panel,8,9,55,6.2,55.63457391,37.60381853,14500000
brick,15,17,44,10,55.56936498,37.48257995,9700000
block,1,12,37.8,6,55.76919,37.568,14800000
brick,8,11,85,8.7,55.75479002,37.57038004,49200000
panel,15,22,75.9,11,55.66039936,37.52266572,35990000
brick,4,11,73,9,55.77155001,37.64956999,29000000
monolith,7,21,75,13,55.7833045,37.51078691,30000000
monolith,4,15,40,15,55.59911,37.35495,8000000
monolith,4,24,40,14,55.85325,37.63161,19500000
monolith,2,3,53,9,55.55069001,37.49935003,14500000
brick,5,9,62.4,8,55.80427074,37.51636085,23800000
block,4,5,45.2,6,55.63974999,37.61375002,14990000
panel,17,19,56.8,8,55.70374,37.91958001,12000000
panel,7,20,77,10.5,55.80137999,37.39396,26900000
panel,13,17,51,10,55.74107002,37.68403001,21000000
panel,3,5,45.6,6,55.70636264,37.76077019,12799999
panel,6,9,44.7,6,55.89822999,37.61850004,10500000
monolithBrick,9,21,68.49,15.7,55.78811,37.53033,29747060
brick,9,31,56,9,55.75918,37.58080997,49999000
block,3,9,32,5.5,55.67388838,37.54392829,14700000
panel,6,17,60.6,13.2,55.78430656,37.45902498,20300000
monolithBrick,26,35,105,8,55.79850001,37.52066001,64000000
monolithBrick,2,7,27,3,55.7374288,37.68932404,8400000
panel,2,9,45,7,55.71215493,37.79771407,11200000
brick,1,5,45.5,5.2,55.70434999,37.76357997,16200000
panel,20,22,99.3,10,55.64038999,37.37183002,19950000
monolith,24,32,43.7,21.8,55.7503,37.46887,24205430
monolith,11,13,50,11.7,55.72923723,37.63040219,29700000
monolith,9,38,42.2,14.7,55.843122,37.6365065,23500000
panel,9,12,40.8,8.4,55.87548,37.72267997,10000000
panel,6,14,76.6,10,55.68370293,37.86249884,17500000
monolith,24,51,41,13,55.7590326,37.55900032,27500000
brick,2,4,64,7.8,55.7934,37.79123003,16990000
panel,1,3,55,12,55.49901,36.92013001,7990000
monolithBrick,11,13,88.2,17.6,55.57524,37.44965,24543200
panel,2,9,32.2,6,55.72059701,37.83482726,8250000
brick,2,5,51.2,8,55.72428118,37.41592928,14550000
monolith,14,14,53.91,4.7,55.57524,37.44965,13216813
panel,2,14,35.81,9.7,55.57524,37.44965,8583557
monolith,2,15,74,15,55.80287188,37.5221071,38899999
block,5,9,36,6,55.72545001,37.43256998,13200000
monolith,4,23,47.1,3.2,55.85305375,37.60621196,11372582
monolith,3,12,34,8,55.65992234,37.52734568,17650000
monolith,18,35,44.2,7,55.85463999,37.47270999,21361799
monolith,21,41,83,15,55.73196082,37.53921435,42000000
monolith,8,25,88.6,15.8,55.56975,37.49129001,19200000
brick,13,18,68,12,55.87280998,37.61586997,19700000
monolithBrick,3,45,42.8,6.4,55.72714,37.46578,33884987
brick,4,9,30.8,5.7,55.71214998,37.73956003,10600000
panel,5,9,51.6,6,55.88657998,37.51997001,13800000
panel,1,17,74.2,10.2,55.71430642,37.40868318,16800000
monolith,2,9,46.4,12,55.48761,37.27764,8900000
monolith,7,17,124,13,55.7913,37.59888999,53400000
panel,12,14,39,9,55.99691166,37.18931085,8204000
monolith,3,17,90,12.5,55.80992999,37.48256996,39500000
brick,13,14,39.4,9,55.81784702,37.65060354,14000000
panel,3,3,41.8,14.9,55.48839742,36.91566489,6000000
block,9,12,48,9,55.87556,37.52523997,11700000
monolith,7,8,135.4,27.7,55.66667,37.75,64175000
panel,21,25,89,20,55.57524,37.44965,17950000
monolith,22,47,101,17.9,55.64424259,37.5081159,41500000
block,7,14,40,10,55.87580002,37.71568997,10285000
monolith,17,17,43.55,13.4,55.78761575,37.69922975,26877590
block,23,23,44,9.8,55.86903,37.54426001,13650000
brick,6,10,85,10,55.81051002,37.64067001,31999000
monolith,5,25,38.8,16,55.75599362,37.50587366,21200000
monolith,41,51,84.1,30,55.7589944,37.52258375,32500000
monolith,10,19,75.7,10.2,55.71494089,37.63333943,31499999
block,5,12,45,6,55.67682001,37.67284998,12500000
monolith,5,6,31.94,3.3,55.57524,37.44965,9515233
monolithBrick,22,22,37.6,16,55.82357,37.44621,19123265
brick,4,9,35,9,55.65156476,37.58962511,11550000
monolithBrick,3,5,120,15,55.82357,37.44621,40000000
monolith,23,25,60,7,55.82672445,37.4231721,20900000
block,4,12,39,7,55.83779,37.6498,13000000
block,12,25,40.5,11.5,55.84961,37.35257,15300000
monolith,15,24,39,10,55.88393,37.69976,10000000
panel,4,22,98,10.6,55.54874,37.54954003,24000000
brick,1,9,39,6.9,55.77759644,37.61166779,15000000
panel,4,5,40.52,13.5,55.45470686,37.28708343,7500000
brick,4,8,34.4,6,55.7694007,37.65342756,27805830
panel,5,9,45,6.3,55.86973999,37.61378002,10900000
monolith,20,30,108,18.3,55.76294592,37.50704302,48200000
brick,3,5,30.3,6,55.85832907,37.66697857,9500000
panel,6,19,56,8,55.63903,37.51954,20500000
monolith,13,21,36.2,13.7,55.57524,37.44965,10631725
monolith,10,17,32.9,9.8,55.57524,37.44965,8432197
panel,3,12,79.4,8.4,55.79848999,37.39541996,21000000
