wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
5,5,9,32,6,55.83702999,37.65963004,9850000
1,3,11,39.2,15,55.70857178,37.5029491,20000000
1,2,23,41.33,13.4,55.57524,37.44965,9601075
2,14,18,96.5,13,55.70636264,37.76077019,25990000
2,12,25,56,11,55.71904397,37.82148234,16100000
1,31,31,37.4,18.2,55.86678322,37.48073874,21000000
1,23,23,39.69,13.4,55.57524,37.44965,10725516
,36,46,42.5,11.4,55.75079001,37.52730996,23499000
,25,33,51,18,55.59195,37.60629,15250000
,7,10,39,10,55.81041267,37.71302303,14700000
2,10,12,47,7,55.82786999,37.58246004,14900000
,19,33,41.9,20.3,55.72464729,37.77583805,14050000
1,6,24,36.1,17.6,55.69733999,37.62551997,14750000
2,6,12,62.6,7,55.61506662,37.71487031,15600000
,,,,,-1,-1,
2,6,19,59.4,,55.57524,37.44965,14300000
3,1,9,31,6,55.76641999,37.83567004,8500000
2,7,16,37.6,9,55.89211952,37.51353696,10800000
3,7,19,39.6,7.9,55.63672002,37.31044004,11200000
,21,22,46,,55.5759117,37.48109115,12700000
,8,14,52.5,9,55.76352805,37.70610966,20500000
2,5,9,59,6,55.85171001,37.42570998,15700000
1,2,14,37.7,12.4,55.7519914,37.6871014,19000000
1,28,28,64.3,23.2,55.69967978,37.49347854,41275862
2,1,9,23,5,55.6567,37.52427001,6800000
2,3,9,45.8,6,55.64659,37.53286004,14100000
5,8,12,39,6.2,55.86881001,37.67999999,13300000
1,9,20,51.9,21.1,55.79023001,37.45695998,22000000
1,4,15,72,16.3,55.6718,37.73775,17550000
1,4,30,47.4,10,55.72321554,37.69251967,21130000
1,2,12,39,17.3,55.57524,37.44965,13072178
3,7,14,70,10,55.73306002,37.66017,48650000
2,6,16,36.71,9,55.87782999,37.52259003,9400000
1,4,15,79,16.6,55.77322,37.72591,25600000
4,9,33,20,3,55.88924153,37.53999988,8900000
5,5,5,45.2,6,55.80585411,37.77883248,12100000
5,4,9,40,7,55.85466002,37.51406999,12990000
3,3,10,68,11,55.70748,37.58283999,28700000
,13,19,39.3,,55.57165,37.47337996,9900000
4,12,14,34.03,10.4,55.57524,37.44965,8800000
,4,31,137.9,20.3,55.73566688,37.40851199,55000000
1,3,10,180,,55.7503,37.46887,220000000
2,12,12,52,10,55.71976275,37.51152897,1600000
,23,25,78,13,55.72745175,37.7593838,25850000
,13,21,69.6,11.8,55.60723998,37.65570002,13700000
3,5,21,39,9,55.49234002,37.31514002,8300000
,12,16,33.2,,55.84431118,37.58061735,12300000
1,10,16,56.7,11.8,55.80317,37.50458,28299911
3,2,7,79.4,9.2,55.80165138,37.51707568,24500000
1,8,8,48.79,18.4,55.66667,37.75,28466000
5,3,14,34.8,9.5,55.81367999,37.63857499,14500000
,14,14,53,9,55.74626001,37.70449996,17500000
1,3,27,116.8,,55.81034115,37.64515481,38425000
1,2,28,40.07,,55.72645221,37.63716747,21539446
4,6,43,64.5,,55.75679512,37.51790864,29900000
4,8,9,149.37,,55.71797,37.52503998,231523500
1,9,9,42,12.4,55.67034127,37.77168633,13900000
,7,31,48,6,55.87105,37.51282,12750000
2,12,19,56,8,55.63903,37.51954,19950000
2,2,5,31.8,5.5,55.86108999,37.50898,9350000
2,2,12,28.9,8,55.81831998,37.62658003,11500000
,,,,,55.82453503,37.64500369,45357109
1,23,28,82.6,,55.74943,37.62371,27853216
3,3,5,37,6,55.74650581,37.66750536,21500000
4,10,15,71.5,15,55.57524,37.44965,11550000
3,3,9,44,5.5,55.71592,37.73211,15800000
1,14,33,60,,55.72464729,37.77583805,18500000
2,19,19,41,,55.56971001,37.60066997,14500000
4,27,57,41.25,15,55.81242694,37.60414033,17979167
,18,18,38.4,15.3,55.57524,37.44965,12300000
2,10,11,86,17,55.69694738,37.63378209,41500000
1,12,24,122,21.5,55.82435777,37.43307309,43000000
1,10,24,93.7,20,55.78900197,37.47245437,46850000
1,6,23,55,18.8,55.57524,37.44965,11200000
2,9,17,64,12.7,55.70428,37.93738997,16500000
2,4,12,41,5.9,55.59450978,37.60921855,11500000
4,5,7,136,20,55.75333241,37.59813231,141850000
3,6,16,76.3,21.3,55.77756,37.50317997,41500000
,,,,,-1,-1,
2,8,9,55,6.2,55.63457391,37.60381853,14500000
3,15,17,44,10,55.56936498,37.48257995,9700000
5,1,12,37.8,6,55.76919,37.568,14800000
,25,28,68.8,17,55.6890801,37.47359485,44000000
3,8,11,85,8.7,55.75479002,37.57038004,49200000
2,15,22,75.9,11,55.66039936,37.52266572,35990000
3,4,11,73,9,55.77155001,37.64956999,29000000
1,7,21,75,13,55.7833045,37.51078691,30000000
1,4,15,40,15,55.59911,37.35495,8000000
1,4,24,40,14,55.85325,37.63161,19500000
1,2,3,53,9,55.55069001,37.49935003,14500000
3,5,9,62.4,8,55.80427074,37.51636085,23800000
1,4,9,67,12,54.00773187,38.28021645,8560000
5,4,5,45.2,6,55.63974999,37.61375002,14990000
,12,25,34.4,8,55.72783998,37.42540245,13400000
2,17,19,56.8,8,55.70374,37.91958001,12000000
4,32,41,71.8,,55.74429988,37.50724564,53850000
2,7,20,77,10.5,55.80137999,37.39396,26900000
2,13,17,51,10,55.74107002,37.68403001,21000000
,13,17,65.2,16,55.6999473,37.63907606,27500000
2,3,5,45.6,6,55.70636264,37.76077019,12799999
,14,18,40,9,55.73618002,37.42838004,14000000
